race_time,lap_number,speed,rpm,oil_temperature,engine_temperature,intake_temperature,emission_temperature,battery_voltage
0,1,39,4643,109,95,35,600,14.2
1,1,52,6096,109,95,35,600,14.2
2,1,59,6927,109,96,35,600,14.2
3,1,58,6801,109,96,35,600,14.2
4,1,48,5619,109,97,35,600,14.2
5,1,36,4221,109,97,35,600,14.2
6,1,23,2796,109,97,35,600,14.2
7,1,18,2119,108,98,35,600,14.2
8,1,18,2135,108,98,35,600,14.2
9,2,49,5776,108,98,35,600,14.2
10,2,58,6808,107,99,35,600,14.2
11,2,59,6928,107,99,35,600,14.2
12,2,50,5835,106,99,35,600,14.2
13,2,39,4633,106,99,35,600,14.2
14,2,26,3122,105,99,35,600,14.2
15,2,18,2147,105,99,35,600,14.2
16,3,50,5860,104,99,35,600,14.2
17,3,58,6842,104,99,35,600,14.2
18,3,59,6899,103,99,35,600,14.2
19,3,53,6250,103,99,35,600,14.2
20,3,41,4839,102,99,35,600,14.2
21,3,28,3301,102,99,35,600,14.2
22,3,19,2226,102,99,35,600,14.2
23,3,17,2056,101,98,35,600,14.2
24,3,24,2883,101,98,35,600,14.2
25,3,36,4305,100,97,35,600,14.2
26,3,49,5827,100,97,35,600,14.2
27,3,58,6825,100,97,35,600,14.2
28,4,43,5125,100,96,35,600,14.2
29,4,55,6442,100,96,35,600,14.2
30,4,59,6997,100,95,35,600,14.2
31,4,57,6730,100,95,35,600,14.2
32,4,48,5619,100,94,35,600,14.2
33,4,34,4057,100,94,35,600,14.2
34,4,22,2677,100,93,35,600,14.2
35,5,51,5980,100,93,35,600,14.2
36,5,59,6889,100,92,35,600,14.2
37,6,40,4707,100,92,35,600,14.2
38,6,52,6151,101,91,35,600,14.2
39,6,59,6944,101,91,35,600,14.2
40,6,58,6862,101,91,35,600,14.2
41,6,48,5702,102,90,35,600,14.2
42,6,35,4157,102,90,35,600,14.2
43,7,48,5677,102,90,35,600,14.2
44,7,57,6761,103,90,35,600,14.2
45,8,47,5538,103,90,35,600,14.2
46,9,44,5151,104,90,35,600,14.2
47,10,38,4526,104,90,35,600,14.2
48,10,51,6016,105,90,35,600,14.2
