# data: 2026-02-26 18:21
# kierowca: Hubert
# miejsce: aleja włókniarzy
# komentarz: super ekstra mega
race_time,lap_number,speed,rpm,oil_temperature,engine_temperature,intake_temperature,emission_temperature,battery_voltage
0.12,1,41,4874,109,95,35,600,14.2
0.74,1,55,6497,109,95,35,600,14.2
1.35,1,59,6980,109,95,35,600,14.2
1.96,1,52,6067,109,95,35,600,14.2
2.57,1,36,4279,109,96,35,600,14.2
3.18,1,22,2614,109,96,35,600,14.2
3.78,2,44,5152,109,96,35,600,14.2
4.39,2,56,6641,109,97,35,600,14.2
5.01,2,59,6934,109,97,35,600,14.2
5.61,2,50,5863,109,97,35,600,14.2
6.22,3,40,4742,109,97,35,600,14.2
6.84,3,54,6403,108,98,35,600,14.2
7.45,3,59,6995,108,98,35,600,14.2
8.05,3,53,6194,108,98,35,600,14.2
8.67,3,38,4444,108,98,35,600,14.2
9.28,3,23,2723,107,99,35,600,14.2
9.89,3,17,2000,107,99,35,600,14.2
10.5,3,22,2680,107,99,35,600,14.2
11.11,3,37,4370,107,99,35,600,14.2
