# data: 2026-02-26 18:23
# kierowca: hubert
# miejsce: pabianicka
# komentarz: ioio
race_time,lap_number,speed,rpm,oil_temperature,engine_temperature,intake_temperature,emission_temperature,battery_voltage
0.02,1,39,4600,109,95,35,600,14.2
0.62,1,59,6914,109,95,35,600,14.2
1.24,1,49,5775,109,95,35,600,14.2
1.85,1,24,2824,109,95,35,600,14.2
2.46,1,19,2232,109,96,35,600,14.2
3.07,1,41,4845,109,96,35,600,14.2
3.68,1,59,6972,109,96,35,600,14.2
4.29,3,52,6131,109,97,35,600,14.2
4.9,1,58,6781,109,97,35,600,14.2
5.51,1,35,4165,109,97,35,600,14.2
