# miejsce: garaż
# kierowca: Hubert Pacyna
# data: 2026-03-02 17:06
# komentarz: test push
race_time,lap_number,speed,rpm,oil,clt,iat,egt,bv
0.02,1,0,0,0,0,0,0,0.0
0.61,1,0,0,0,0,0,0,0.0
1.21,1,0,0,0,0,0,0,0.0
1.81,1,0,0,0,0,0,0,0.0
2.42,1,0,0,0,0,0,0,0.0
3.02,1,0,0,0,0,0,0,0.0
3.63,2,0,0,0,0,0,0,0.0
4.22,2,0,0,0,0,0,0,0.0
4.82,2,0,0,0,0,0,0,0.0
5.43,2,0,0,0,0,0,0,0.0
6.05,2,0,0,0,0,0,0,0.0
6.63,2,0,0,0,0,0,0,0.0
7.23,3,0,0,0,0,0,0,0.0
7.84,3,0,0,0,0,0,0,0.0
8.44,3,0,0,0,0,0,0,0.0
9.04,3,0,0,0,0,0,0,0.0
9.65,3,0,0,0,0,0,0,0.0
10.25,3,0,0,0,0,0,0,0.0
10.86,4,0,0,0,0,0,0,0.0
11.45,4,0,0,0,0,0,0,0.0
12.06,4,0,0,0,0,0,0,0.0
12.66,4,0,0,0,0,0,0,0.0
13.26,4,0,0,0,0,0,0,0.0
13.87,4,0,0,0,0,0,0,0.0
