# miejsce: garaż
# kierowca: Hubert Pacyna
# data: 2026-03-03 15:27
# komentarz: test
race_time,lap_number,speed,rpm,oil,clt,iat,egt,bv
0.03,1,0,0,0,0,0,0,0.0
0.63,1,0,0,0,0,0,0,0.0
1.23,1,0,0,0,0,0,0,0.0
1.83,1,0,0,0,0,0,0,0.0
2.45,1,0,0,0,0,0,0,0.0
3.04,2,0,0,0,0,0,0,0.0
3.64,2,0,0,0,0,0,0,0.0
4.23,2,0,0,0,0,0,0,0.0
4.84,2,0,0,0,0,0,0,0.0
5.43,3,0,0,0,0,0,0,0.0
6.03,3,0,0,0,0,0,0,0.0
6.64,3,0,0,0,0,0,0,0.0
7.24,3,0,0,0,0,0,0,0.0
7.86,3,0,0,0,0,0,0,0.0
8.44,3,0,0,0,0,0,0,0.0
9.04,4,0,0,0,0,0,0,0.0
9.65,4,0,0,0,0,0,0,0.0
10.25,4,0,0,0,0,0,0,0.0
10.86,4,0,0,0,0,0,0,0.0
11.47,4,0,0,0,0,0,0,0.0
12.07,4,0,0,0,0,0,0,0.0
12.66,4,0,0,0,0,0,0,0.0
13.26,4,0,0,0,0,0,0,0.0
