# miejsce: Garaż
# kierowca: Boss
# data: 2026-03-23 19:46
# komentarz: afpsan
race_time,lap_number,speed,rpm,oil,clt,iat,egt,bv
0.16,1,0,0,0,0,0,0,0.0
1.83,1,0,0,0,0,0,0,0.0
3.67,1,0,0,0,0,0,0,0.0
5.32,1,0,0,0,0,0,0,0.0
7.06,1,0,0,0,0,0,0,0.0
8.7,1,0,0,0,0,0,0,0.0
10.45,1,0,0,0,0,0,0,0.0
12.09,1,0,0,0,0,0,0,0.0
13.83,1,0,0,0,0,0,0,0.0
15.56,1,0,0,0,0,0,0,0.0
17.3,1,0,0,0,0,0,0,0.0
19.04,1,0,0,0,0,0,0,0.0
20.79,2,0,0,0,0,0,0,0.0
22.54,2,0,0,0,0,0,0,0.0
24.27,2,0,0,0,0,0,0,0.0
25.9,2,0,0,0,0,0,0,0.0
27.54,2,0,0,0,0,0,0,0.0
29.18,6,0,0,0,0,0,0,0.0
